state,pumano,hhid,serialno,pnum,sex,race,age
35,500,317,2010000000000,1,1,2,2
35,500,318,2010000000000,1,1,1,2
35,500,318,2010000000000,2,1,2,1
35,500,323,2010000000000,1,1,1,3
35,500,323,2010000000000,2,2,1,3
35,500,324,2010000000000,2,1,2,1
35,500,324,2010000000000,3,2,2,2
35,500,324,2010000000000,4,2,2,1
35,500,324,2010000000000,1,1,2,2
35,500,325,2010000000000,4,2,1,3
35,500,325,2010000000000,1,2,1,2
35,500,325,2010000000000,2,1,1,2
35,500,325,2010000000000,3,2,1,1
35,500,326,2010000000000,3,1,2,1
35,500,326,2010000000000,2,2,2,2
35,500,326,2010000000000,1,1,2,2
35,500,327,2010000000000,4,1,1,1
35,500,327,2010000000000,3,2,1,1
35,500,327,2010000000000,2,1,1,2
35,500,327,2010000000000,1,2,1,2
35,500,334,2010000000000,1,2,2,2
35,500,347,2010000000000,2,2,1,2
35,500,347,2010000000000,1,1,1,2
35,500,350,2010000000000,2,2,2,2
35,500,350,2010000000000,1,1,2,2
35,500,363,2010000000000,2,2,1,3
35,500,363,2010000000000,1,1,1,3
35,500,365,2010000000000,2,2,3,2
35,500,365,2010000000000,3,1,3,2
35,500,365,2010000000000,4,1,3,2
35,500,365,2010000000000,1,1,3,3
35,500,369,2010000000000,4,1,2,1
35,500,369,2010000000000,3,1,2,2
35,500,369,2010000000000,5,2,2,1
35,500,369,2010000000000,2,2,2,3
35,500,369,2010000000000,1,1,2,3
35,500,371,2010000000000,2,2,1,2
35,500,371,2010000000000,1,1,1,2
35,500,381,2010000000000,3,2,2,1
35,500,381,2010000000000,4,2,2,1
35,500,381,2010000000000,2,2,2,2
35,500,381,2010000000000,1,1,2,2
35,500,381,2010000000000,5,2,2,1
35,500,382,2010000000000,4,1,2,1
35,500,382,2010000000000,3,1,2,1
35,500,382,2010000000000,2,1,2,2
35,500,382,2010000000000,1,2,2,2
35,500,384,2010000000000,1,2,1,3
35,500,386,2010000000000,2,2,2,2
35,500,386,2010000000000,1,1,2,2
35,500,391,2010000000000,1,2,1,2
35,500,399,2010000000000,1,1,2,2
35,500,399,2010000000000,4,2,2,1
35,500,399,2010000000000,5,2,2,1
35,500,399,2010000000000,2,2,2,2
35,500,399,2010000000000,3,2,2,2
35,500,401,2010000000000,1,2,1,3
35,500,403,2010000000000,3,1,3,2
35,500,403,2010000000000,2,2,3,1
35,500,403,2010000000000,1,2,3,2
35,500,406,2010000000000,3,2,2,1
35,500,406,2010000000000,2,1,1,2
35,500,406,2010000000000,1,2,2,2
35,500,408,2010000000000,1,2,2,3
35,500,414,2010000000000,2,1,2,2
35,500,414,2010000000000,1,2,2,2
35,500,426,2010000000000,2,1,2,2
35,500,426,2010000000000,1,2,2,3
35,500,427,2010000000000,1,2,1,3
35,500,427,2010000000000,2,1,1,3
35,500,431,2010000000000,2,1,3,3
35,500,431,2010000000000,1,2,3,2
35,500,431,2010000000000,3,1,3,2
35,500,448,2010000000000,2,2,1,3
35,500,448,2010000000000,1,1,1,3
35,500,451,2010000000000,1,1,2,3
35,500,451,2010000000000,2,2,2,3
35,500,455,2010000000000,3,2,2,2
35,500,455,2010000000000,2,2,2,2
35,500,455,2010000000000,1,1,2,2
35,500,455,2010000000000,4,2,2,1
35,500,461,2010000000000,2,1,1,2
35,500,461,2010000000000,1,2,1,2
35,500,471,2010000000000,3,1,3,1
35,500,471,2010000000000,2,2,3,1
35,500,471,2010000000000,1,2,3,2
35,500,475,2010000000000,1,1,1,3
35,500,475,2010000000000,2,2,1,3
35,500,476,2010000000000,1,2,1,2
35,500,476,2010000000000,3,1,1,2
35,500,476,2010000000000,2,1,1,2
35,500,479,2010000000000,1,2,3,2
35,500,484,2010000000000,1,1,1,2
35,500,490,2010000000000,2,1,1,2
35,500,490,2010000000000,3,1,2,1
35,500,490,2010000000000,4,2,2,1
35,500,490,2010000000000,1,2,2,2
35,500,495,2010000000000,1,1,1,2
35,500,497,2010000000000,1,1,2,2
35,500,497,2010000000000,2,2,2,2
35,500,497,2010000000000,3,1,2,1
35,500,497,2010000000000,4,2,2,1
35,500,507,2010000000000,1,1,2,2
35,500,508,2010000000000,1,2,1,2
35,500,508,2010000000000,3,1,1,1
35,500,508,2010000000000,2,1,1,2
35,500,509,2010000000000,1,2,1,2
35,500,509,2010000000000,2,1,3,2
35,500,510,2010000000000,2,1,1,3
35,500,510,2010000000000,1,2,1,2
35,500,527,2010000000000,5,1,2,1
35,500,527,2010000000000,4,1,2,1
35,500,527,2010000000000,3,2,2,1
35,500,527,2010000000000,1,1,2,2
35,500,527,2010000000000,2,2,2,2
35,500,529,2010000000000,2,2,2,3
35,500,529,2010000000000,1,1,2,3
35,500,533,2010000000000,1,1,2,2
35,500,538,2010000000000,1,1,1,2
35,500,538,2010000000000,2,2,1,2
35,500,541,2010000000000,5,2,1,1
35,500,541,2010000000000,4,2,1,1
35,500,541,2010000000000,3,2,1,1
35,500,541,2010000000000,2,1,1,2
35,500,541,2010000000000,1,2,1,2
35,500,542,2010000000000,1,1,2,2
35,500,548,2010000000000,1,1,1,3
35,500,548,2010000000000,2,2,1,3
35,500,549,2010000000000,2,2,1,3
35,500,549,2010000000000,1,1,1,3
35,500,550,2010000000000,1,2,1,2
35,500,550,2010000000000,2,1,1,2
35,500,553,2010000000000,1,2,1,2
35,500,553,2010000000000,2,2,1,1
35,500,553,2010000000000,3,1,1,2
35,500,553,2010000000000,4,1,1,1
35,500,553,2010000000000,5,1,1,2
35,500,555,2010000000000,2,2,1,1
35,500,555,2010000000000,1,2,1,2
35,500,555,2010000000000,3,1,1,1
35,500,557,2010000000000,1,2,1,2
35,500,557,2010000000000,2,1,1,2
35,500,562,2010000000000,1,1,2,3
35,500,564,2010000000000,1,2,2,2
35,500,564,2010000000000,2,1,2,2
35,500,570,2010000000000,1,2,1,2
35,500,572,2010000000000,1,1,2,3
35,500,572,2010000000000,2,2,2,3
35,500,575,2010000000000,1,1,3,2
35,500,575,2010000000000,2,2,3,2
35,500,575,2010000000000,4,1,3,1
35,500,575,2010000000000,5,1,3,1
35,500,575,2010000000000,3,1,3,1
35,500,578,2010000000000,1,2,1,2
35,500,579,2010000000000,1,1,1,3
35,500,581,2010000000000,1,1,1,2
35,500,581,2010000000000,2,2,1,2
35,500,582,2010000000000,2,2,2,2
35,500,582,2010000000000,5,1,2,1
35,500,582,2010000000000,4,2,2,1
35,500,582,2010000000000,3,1,2,1
35,500,582,2010000000000,1,1,2,2
35,500,584,2010000000000,3,2,3,1
35,500,584,2010000000000,2,1,3,2
35,500,584,2010000000000,1,1,3,2
35,500,584,2010000000000,4,1,3,1
35,500,592,2010000000000,1,1,1,2
35,500,592,2010000000000,2,2,2,3
35,500,597,2010000000000,3,2,1,2
35,500,597,2010000000000,2,2,1,2
35,500,597,2010000000000,1,1,1,2
35,500,597,2010000000000,4,2,1,2
35,500,599,2010000000000,2,2,1,2
35,500,599,2010000000000,1,1,1,2
35,500,602,2010000000000,1,1,1,2
35,500,602,2010000000000,2,2,2,2
35,500,607,2010000000000,1,1,2,2
35,500,607,2010000000000,2,2,2,2
35,500,607,2010000000000,5,2,2,1
35,500,607,2010000000000,4,1,2,1
35,500,607,2010000000000,3,1,2,1
35,500,611,2010000000000,1,2,1,2
35,500,611,2010000000000,4,1,1,1
35,500,611,2010000000000,3,2,1,1
35,500,611,2010000000000,2,1,1,2
35,500,623,2010000000000,2,1,1,2
35,500,623,2010000000000,1,2,1,2
35,500,626,2010000000000,2,1,2,2
35,500,626,2010000000000,3,1,2,1
35,500,626,2010000000000,1,2,2,2
35,500,627,2010000000000,2,2,1,2
35,500,627,2010000000000,1,1,1,2
35,500,634,2010000000000,3,1,3,2
35,500,634,2010000000000,2,1,3,2
35,500,634,2010000000000,1,2,3,2
35,500,639,2010000000000,1,1,1,2
35,500,639,2010000000000,2,1,1,3
35,500,645,2010000000000,1,2,2,2
35,500,651,2010000000000,1,1,3,2
35,500,651,2010000000000,2,2,3,2
35,500,651,2010000000000,3,1,3,1
35,500,658,2010000000000,1,2,2,3
35,500,658,2010000000000,2,1,2,2
35,500,658,2010000000000,3,1,2,2
35,500,658,2010000000000,4,2,2,1
35,500,662,2010000000000,1,1,2,3
35,500,662,2010000000000,2,2,2,3
35,500,663,2010000000000,1,1,2,2
35,500,665,2010000000000,1,2,2,3
35,500,669,2010000000000,1,2,2,2
35,500,672,2010000000000,2,1,3,3
35,500,672,2010000000000,1,1,3,2
35,500,674,2010000000000,2,2,1,3
35,500,674,2010000000000,1,1,1,3
35,500,678,2010000000000,4,1,2,1
35,500,678,2010000000000,3,1,2,2
35,500,678,2010000000000,1,1,2,2
35,500,678,2010000000000,2,2,2,2
35,500,680,2010000000000,3,1,1,3
35,500,680,2010000000000,2,1,1,2
35,500,680,2010000000000,1,2,1,3
35,500,684,2010000000000,3,2,3,1
35,500,684,2010000000000,4,2,3,2
35,500,684,2010000000000,2,2,3,2
35,500,684,2010000000000,1,1,3,2
35,500,692,2010000000000,1,2,1,3
35,500,693,2010000000000,1,2,2,2
35,500,693,2010000000000,2,1,2,2
35,500,693,2010000000000,3,2,2,2
35,500,694,2010000000000,4,2,2,1
35,500,694,2010000000000,3,2,2,1
35,500,694,2010000000000,2,2,2,2
35,500,694,2010000000000,1,1,2,2
35,500,694,2010000000000,5,2,2,1
35,500,699,2010000000000,5,1,3,3
35,500,699,2010000000000,4,1,3,1
35,500,699,2010000000000,3,1,3,2
35,500,699,2010000000000,1,1,3,2
35,500,699,2010000000000,2,2,3,2
35,500,700,2010000000000,1,1,1,3
35,500,700,2010000000000,2,2,1,2
35,500,704,2010000000000,1,2,1,3
35,500,705,2010000000000,2,2,1,3
35,500,705,2010000000000,1,1,1,3
35,500,709,2010000000000,6,2,1,1
35,500,709,2010000000000,7,1,1,2
35,500,709,2010000000000,4,2,1,2
35,500,709,2010000000000,3,1,1,2
35,500,709,2010000000000,2,2,1,3
35,500,709,2010000000000,5,2,1,1
35,500,709,2010000000000,1,1,1,3
35,500,710,2010000000000,5,2,1,2
35,500,710,2010000000000,3,1,1,2
35,500,710,2010000000000,4,1,1,2
35,500,710,2010000000000,2,2,1,2
35,500,710,2010000000000,1,1,1,2
35,500,713,2010000000000,2,2,1,2
35,500,713,2010000000000,1,1,1,2
35,500,717,2010000000000,2,2,1,2
35,500,717,2010000000000,3,1,1,1
35,500,717,2010000000000,4,1,1,1
35,500,717,2010000000000,1,1,1,2
35,500,719,2010000000000,1,1,2,3
35,500,719,2010000000000,2,2,2,3
35,500,720,2010000000000,2,1,2,1
35,500,720,2010000000000,1,2,2,2
35,500,720,2010000000000,3,1,2,1
35,500,721,2010000000000,5,1,2,1
35,500,721,2010000000000,4,1,2,1
35,500,721,2010000000000,3,1,2,1
35,500,721,2010000000000,1,2,1,2
35,500,721,2010000000000,6,2,2,1
35,500,721,2010000000000,2,1,2,2
35,500,724,2010000000000,2,1,1,3
35,500,724,2010000000000,1,2,1,2
35,500,727,2010000000000,1,1,1,3
35,500,729,2010000000000,1,1,1,2
35,500,729,2010000000000,2,2,1,2
35,500,739,2010000000000,2,2,1,2
35,500,739,2010000000000,1,1,1,2
35,500,744,2010000000000,4,2,2,1
35,500,744,2010000000000,3,1,2,1
35,500,744,2010000000000,2,1,2,1
35,500,744,2010000000000,1,2,2,2
35,500,744,2010000000000,6,1,2,2
35,500,744,2010000000000,5,2,2,1
35,500,746,2010000000000,5,1,1,1
35,500,746,2010000000000,4,1,1,1
35,500,746,2010000000000,3,2,1,1
35,500,746,2010000000000,2,2,1,2
35,500,746,2010000000000,1,1,1,2
35,500,747,2010000000000,2,2,1,2
35,500,747,2010000000000,1,1,1,2
35,500,748,2010000000000,4,1,2,2
35,500,748,2010000000000,1,1,2,2
35,500,748,2010000000000,2,2,2,2
35,500,748,2010000000000,3,1,2,2
35,500,749,2010000000000,1,1,1,3
35,500,749,2010000000000,2,2,3,3
35,500,760,2010000000000,1,2,1,2
35,500,760,2010000000000,3,1,1,2
35,500,760,2010000000000,2,1,1,2
35,500,761,2010000000000,3,1,2,1
35,500,761,2010000000000,2,2,2,2
35,500,761,2010000000000,1,1,1,2
35,500,762,2010000000000,2,1,2,2
35,500,762,2010000000000,1,2,1,2
35,500,763,2010000000000,2,2,1,2
35,500,763,2010000000000,1,2,1,3
35,500,764,2010000000000,3,2,3,1
35,500,764,2010000000000,2,2,3,2
35,500,764,2010000000000,1,1,3,2
35,500,764,2010000000000,4,1,3,1
35,500,765,2010000000000,2,2,2,2
35,500,765,2010000000000,1,1,2,2
35,500,766,2010000000000,1,1,3,2
35,500,768,2010000000000,2,1,2,2
35,500,768,2010000000000,1,2,2,2
35,500,769,2010000000000,1,1,2,2
35,500,769,2010000000000,2,1,2,2
35,500,774,2010000000000,1,2,1,3
35,500,776,2010000000000,1,2,1,2
35,500,782,2010000000000,7,1,3,1
35,500,782,2010000000000,6,2,3,1
35,500,782,2010000000000,5,1,3,1
35,500,782,2010000000000,4,2,3,1
35,500,782,2010000000000,3,2,3,1
35,500,782,2010000000000,1,1,1,2
35,500,782,2010000000000,2,2,1,2
35,500,784,2010000000000,1,1,1,3
35,500,784,2010000000000,2,2,1,2
35,500,785,2010000000000,1,1,1,3
35,500,785,2010000000000,2,2,1,3
35,500,786,2010000000000,5,2,2,1
35,500,786,2010000000000,3,2,2,1
35,500,786,2010000000000,2,1,2,2
35,500,786,2010000000000,1,2,2,2
35,500,786,2010000000000,4,2,2,1
35,500,787,2010000000000,1,1,1,2
35,500,787,2010000000000,2,2,1,2
35,500,789,2010000000000,2,1,1,1
35,500,789,2010000000000,1,2,1,2
35,500,797,2010000000000,1,2,2,2
35,500,797,2010000000000,2,2,2,2
35,500,813,2010000000000,3,2,1,1
35,500,813,2010000000000,2,1,1,3
35,500,813,2010000000000,1,2,1,3
35,500,815,2010000000000,2,2,2,2
35,500,815,2010000000000,1,1,1,2
35,500,819,2010000000000,5,2,2,2
35,500,819,2010000000000,6,2,2,2
35,500,819,2010000000000,1,1,2,2
35,500,819,2010000000000,2,2,2,2
35,500,819,2010000000000,3,1,2,1
35,500,819,2010000000000,4,1,2,2
35,500,823,2010000000000,6,2,2,1
35,500,823,2010000000000,5,2,2,1
35,500,823,2010000000000,4,2,2,1
35,500,823,2010000000000,3,2,2,1
35,500,823,2010000000000,2,2,2,2
35,500,823,2010000000000,7,2,2,1
35,500,823,2010000000000,1,1,2,2
35,500,831,2010000000000,2,2,2,2
35,500,831,2010000000000,1,1,1,2
35,500,843,2010000000000,2,1,2,2
35,500,843,2010000000000,1,2,1,2
35,500,849,2010000000000,1,1,1,3
35,500,851,2010000000000,1,2,1,2
35,500,851,2010000000000,2,1,1,2
35,500,856,2010000000000,1,1,2,3
35,500,857,2010000000000,2,2,1,2
35,500,857,2010000000000,1,1,1,2
35,500,858,2010000000000,1,2,1,2
35,500,858,2010000000000,4,2,2,1
35,500,858,2010000000000,3,2,2,1
35,500,858,2010000000000,2,1,2,2
35,500,861,2010000000000,5,2,3,1
35,500,861,2010000000000,4,1,3,1
35,500,861,2010000000000,3,2,3,2
35,500,861,2010000000000,2,1,3,2
35,500,861,2010000000000,1,2,3,2
35,500,861,2010000000000,6,2,3,1
35,500,862,2010000000000,5,2,3,2
35,500,862,2010000000000,4,2,3,2
35,500,862,2010000000000,3,1,3,1
35,500,862,2010000000000,2,1,3,2
35,500,862,2010000000000,1,1,3,2
35,500,862,2010000000000,6,1,3,2
35,500,863,2010000000000,1,1,1,2
35,500,863,2010000000000,4,1,1,1
35,500,863,2010000000000,3,2,1,2
35,500,863,2010000000000,2,2,1,2
35,500,864,2010000000000,1,2,3,2
35,500,872,2010000000000,1,1,3,3
35,500,876,2010000000000,1,2,1,3
35,500,877,2010000000000,2,2,1,2
35,500,877,2010000000000,1,1,1,2
35,500,882,2010000000000,2,1,2,2
35,500,882,2010000000000,1,2,1,2
35,500,885,2010000000000,2,2,1,3
35,500,885,2010000000000,1,1,1,2
35,500,886,2010000000000,2,2,1,2
35,500,886,2010000000000,1,1,2,2
35,500,889,2010000000000,3,2,1,1
35,500,889,2010000000000,2,1,1,1
35,500,889,2010000000000,1,2,1,2
35,500,892,2010000000000,2,1,1,2
35,500,892,2010000000000,1,2,1,2
35,500,898,2010000000000,1,2,1,3
35,500,899,2010000000000,4,2,3,1
35,500,899,2010000000000,3,2,3,2
35,500,899,2010000000000,2,2,3,2
35,500,899,2010000000000,1,1,1,2
35,500,901,2010000000000,1,1,1,2
35,500,901,2010000000000,2,2,1,2
35,500,903,2010000000000,1,2,2,2
35,500,904,2010000000000,1,1,2,3
35,500,905,2010000000000,2,2,3,3
35,500,905,2010000000000,1,1,2,3
35,500,909,2010000000000,2,1,1,2
35,500,909,2010000000000,1,2,1,2
35,500,915,2010000000000,4,1,1,1
35,500,915,2010000000000,3,1,1,1
35,500,915,2010000000000,2,1,1,2
35,500,915,2010000000000,1,2,1,2
35,500,920,2010000000000,2,1,3,2
35,500,920,2010000000000,5,2,3,1
35,500,920,2010000000000,4,1,3,1
35,500,920,2010000000000,3,1,3,2
35,500,920,2010000000000,1,2,3,2
35,500,923,2010000000000,3,2,1,2
35,500,923,2010000000000,2,1,1,3
35,500,923,2010000000000,1,2,1,3
35,500,932,2010000000000,2,1,2,1
35,500,932,2010000000000,3,2,2,2
35,500,932,2010000000000,1,2,2,2
35,500,936,2010000000000,1,1,2,2
35,500,938,2010000000000,1,1,2,3
35,500,939,2010000000000,1,1,2,2
35,500,939,2010000000000,2,2,2,2
35,500,944,2010000000000,1,2,3,2
35,500,944,2010000000000,2,2,3,1
35,500,961,2010000000000,2,2,1,3
35,500,961,2010000000000,1,1,1,3
35,500,965,2010000000000,1,2,1,2
35,500,965,2010000000000,2,1,1,2
35,500,966,2010000000000,1,1,1,2
35,500,966,2010000000000,2,2,1,2
35,500,968,2010000000000,1,2,1,3
35,500,969,2010000000000,1,1,1,3
35,500,972,2010000000000,1,2,2,3
35,500,972,2010000000000,2,1,3,2
35,500,974,2010000000000,7,2,2,1
35,500,974,2010000000000,6,2,2,1
35,500,974,2010000000000,5,2,2,1
35,500,974,2010000000000,3,1,2,2
35,500,974,2010000000000,2,2,2,2
35,500,974,2010000000000,1,1,2,2
35,500,974,2010000000000,4,2,2,1
35,500,991,2010000000000,4,2,2,1
35,500,991,2010000000000,5,2,2,1
35,500,991,2010000000000,7,2,2,2
35,500,991,2010000000000,8,1,2,1
35,500,991,2010000000000,9,2,2,2
35,500,991,2010000000000,10,1,2,1
35,500,991,2010000000000,3,1,2,2
35,500,991,2010000000000,2,1,2,2
35,500,991,2010000000000,1,2,2,2
35,500,991,2010000000000,6,2,2,1
35,500,992,2010000000000,1,1,1,2
35,500,992,2010000000000,3,2,2,2
35,500,992,2010000000000,2,1,1,1
35,500,993,2010000000000,1,2,2,2
35,500,993,2010000000000,2,2,2,1
35,500,993,2010000000000,3,2,2,1
35,500,993,2010000000000,7,1,2,2
35,500,993,2010000000000,5,1,2,2
35,500,993,2010000000000,6,2,2,3
35,500,993,2010000000000,4,2,2,1
35,500,994,2010000000000,2,2,2,2
35,500,994,2010000000000,1,1,2,2
35,500,1005,2010000000000,1,1,2,2
35,500,1005,2010000000000,2,2,1,2
35,500,1007,2010000000000,1,2,2,3
35,500,1007,2010000000000,2,1,2,3
35,500,1009,2010000000000,3,2,1,1
35,500,1009,2010000000000,1,2,1,2
35,500,1009,2010000000000,2,1,1,2
35,500,1009,2010000000000,4,1,1,1
35,500,1010,2010000000000,1,2,1,2
35,500,1020,2010000000000,1,1,1,2
35,500,1021,2010000000000,1,1,1,3
35,500,1024,2010000000000,2,2,1,3
35,500,1024,2010000000000,1,1,1,3
35,500,1025,2010000000000,2,2,1,2
35,500,1025,2010000000000,1,2,1,2
35,500,1026,2010000000000,2,2,2,2
35,500,1026,2010000000000,1,1,2,2
35,500,1036,2010000000000,1,1,1,2
35,500,1036,2010000000000,2,2,1,2
35,500,1036,2010000000000,3,1,1,1
35,500,1036,2010000000000,4,1,1,1
35,500,1036,2010000000000,5,1,1,1
35,500,1036,2010000000000,6,2,1,1
35,500,1041,2010000000000,2,1,3,2
35,500,1041,2010000000000,3,2,3,1
35,500,1041,2010000000000,1,2,3,2
35,500,1058,2010000000000,3,2,3,3
35,500,1058,2010000000000,2,1,3,2
35,500,1058,2010000000000,1,1,3,2
35,500,1059,2010000000000,1,2,1,2
35,500,1060,2010000000000,2,2,3,1
35,500,1060,2010000000000,1,2,3,2
35,500,1064,2010000000000,2,1,2,1
35,500,1064,2010000000000,1,2,2,2
35,500,1066,2010000000000,1,2,1,2
35,500,1066,2010000000000,2,1,1,2
35,500,1073,2010000000000,1,1,2,2
35,500,1073,2010000000000,3,2,2,2
35,500,1073,2010000000000,2,2,2,2
35,500,1074,2010000000000,4,2,1,1
35,500,1074,2010000000000,3,1,1,1
35,500,1074,2010000000000,1,1,1,2
35,500,1074,2010000000000,2,2,1,2
